WL(nm),Abs, T%
900,4.1361,0.01
901,4.1349,0.01
902,4.1337,0.01
903,4.4334,0
904,4.4319,0
905,4.1293,0.01
906,4.4287,0
907,4.4271,0
908,4.1245,0.01
909,4.4238,0
910,4.4221,0
911,4.4203,0
912,4.1172,0.01
913,4.4164,0
914,4.4145,0
915,4.4125,0
916,3.9334,0.01
917,4.4083,0
918,4.1052,0.01
919,3.927,0.01
920,4.4019,0
921,4.0986,0.01
922,4.3973,0
923,4.3948,0
924,4.3923,0
925,4.3899,0
926,4.3875,0
927,4.3848,0
928,4.3822,0
929,4.379,0
930,4.3753,0
931,4.3716,0
932,4.3679,0
933,4.0624,0.01
934,4.3606,0
935,4.0573,0.01
936,4.3551,0
937,4.3525,0
938,4.0498,0.01
939,4.3482,0
940,4.3444,0
941,4.34,0
942,4.3353,0
943,4.3318,0
944,4.3289,0
945,4.3255,0
946,4.3223,0
947,4.3182,0
948,4.0132,0.01
949,4.0095,0.01
950,4.3076,0
951,4.0033,0.01
952,4.2999,0.01
953,4.1192,0.01
954,4.5919,0
955,4.5877,0
956,4.2827,0.01
957,4.5796,0
958,4.5751,0
959,4.5709,0
960,4.5665,0
961,4.562,0
962,4.5576,0
963,4.252,0.01
964,4.2473,0.01
965,4.2426,0.01
966,4.0618,0.01
967,4.2331,0.01
968,4.2283,0.01
969,4.2233,0.01
970,4.218,0.01
971,4.5136,0
972,4.2071,0.01
973,4.5028,0
974,4.1964,0.01
975,4.0149,0.01
976,4.4866,0
977,4.4808,0
978,4.1741,0.01
979,4.4694,0
980,4.1627,0.01
981,4.458,0
982,4.4518,0
983,3.8437,0.01
984,4.4397,0
985,4.1327,0.01
986,4.1268,0.01
987,4.4219,0
988,4.115,0.01
989,4.1086,0.01
990,4.102,0.01
991,4.3961,0
992,4.3889,0
993,4.3818,0
994,4.0736,0.01
995,4.3675,0
996,4.3605,0
997,4.3536,0
998,4.0455,0.01
999,4.3395,0
1000,4.0313,0.01
1001,4.3248,0
1002,4.3173,0
1003,4.3098,0
1004,4.002,0.01
1005,4.5986,0
1006,4.2899,0.01
1007,4.106,0.01
1008,4.2744,0.01
1009,4.0907,0.01
1010,4.2592,0.01
1011,4.5525,0
1012,4.2429,0.01
1013,4.2335,0.01
1014,4.0484,0.01
1015,4.0398,0.01
1016,4.5082,0
1017,3.8972,0.01
1018,4.0132,0.01
