Sample Name, GLASS
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
569.0, 0.0501, 89.11
570.0, 0.0503, 89.07
571.0, 0.0502, 89.09
572.0, 0.0501, 89.10
573.0, 0.0500, 89.12
574.0, 0.0500, 89.12
575.0, 0.0501, 89.10
576.0, 0.0502, 89.09
577.0, 0.0502, 89.09
578.0, 0.0504, 89.05
579.0, 0.0503, 89.06
580.0, 0.0504, 89.05
581.0, 0.0504, 89.04
582.0, 0.0505, 89.02
583.0, 0.0506, 89.00
584.0, 0.0507, 88.98
585.0, 0.0508, 88.95
586.0, 0.0503, 89.06
587.0, 0.0504, 89.04
588.0, 0.0505, 89.03
589.0, 0.0506, 89.00
590.0, 0.0506, 89.00
591.0, 0.0508, 88.96
592.0, 0.0508, 88.96
593.0, 0.0508, 88.96
594.0, 0.0510, 88.92
595.0, 0.0512, 88.87
596.0, 0.0511, 88.90
597.0, 0.0511, 88.90
598.0, 0.0513, 88.85
599.0, 0.0514, 88.83
600.0, 0.0515, 88.83
601.0, 0.0515, 88.83
602.0, 0.0509, 88.93
603.0, 0.0511, 88.89
604.0, 0.0512, 88.88
605.0, 0.0513, 88.86
606.0, 0.0514, 88.83
607.0, 0.0516, 88.80
608.0, 0.0517, 88.78
609.0, 0.0517, 88.77
610.0, 0.0518, 88.76
611.0, 0.0520, 88.72
612.0, 0.0521, 88.70
613.0, 0.0522, 88.67
614.0, 0.0522, 88.67
615.0, 0.0524, 88.64
616.0, 0.0525, 88.62
617.0, 0.0527, 88.58
618.0, 0.0528, 88.56
619.0, 0.0529, 88.52
620.0, 0.0530, 88.51
621.0, 0.0531, 88.49
622.0, 0.0532, 88.47
623.0, 0.0533, 88.45
624.0, 0.0536, 88.40
625.0, 0.0536, 88.39
626.0, 0.0536, 88.39
627.0, 0.0537, 88.37
628.0, 0.0538, 88.35
629.0, 0.0539, 88.33
630.0, 0.0540, 88.30
631.0, 0.0542, 88.27
632.0, 0.0542, 88.26
633.0, 0.0544, 88.23
634.0, 0.0545, 88.20
635.0, 0.0546, 88.19
636.0, 0.0548, 88.15
637.0, 0.0548, 88.14
638.0, 0.0550, 88.10
639.0, 0.0550, 88.11
640.0, 0.0551, 88.08
641.0, 0.0551, 88.08
642.0, 0.0554, 88.02
643.0, 0.0555, 88.01
644.0, 0.0556, 87.99
645.0, 0.0557, 87.96
646.0, 0.0558, 87.94
647.0, 0.0559, 87.92
648.0, 0.0559, 87.91
649.0, 0.0561, 87.89
650.0, 0.0562, 87.86
651.0, 0.0563, 87.84
652.0, 0.0564, 87.83
653.0, 0.0566, 87.77
654.0, 0.0567, 87.76
655.0, 0.0568, 87.74
656.0, 0.0568, 87.74
657.0, 0.0570, 87.70
658.0, 0.0571, 87.68
659.0, 0.0572, 87.65
660.0, 0.0574, 87.62
661.0, 0.0575, 87.60
662.0, 0.0575, 87.60
663.0, 0.0577, 87.55
664.0, 0.0578, 87.54
665.0, 0.0579, 87.53
666.0, 0.0581, 87.48
667.0, 0.0581, 87.48
668.0, 0.0582, 87.45
669.0, 0.0584, 87.42
670.0, 0.0585, 87.39
671.0, 0.0586, 87.37
672.0, 0.0588, 87.34
673.0, 0.0589, 87.32
674.0, 0.0590, 87.30
675.0, 0.0591, 87.27
676.0, 0.0593, 87.24
677.0, 0.0594, 87.22
678.0, 0.0594, 87.21
679.0, 0.0597, 87.16
680.0, 0.0598, 87.14
681.0, 0.0599, 87.12
682.0, 0.0601, 87.08
683.0, 0.0602, 87.05
684.0, 0.0603, 87.03
685.0, 0.0604, 87.01
686.0, 0.0605, 86.99
687.0, 0.0607, 86.95
688.0, 0.0608, 86.94
689.0, 0.0609, 86.92
690.0, 0.0610, 86.90
691.0, 0.0612, 86.86
692.0, 0.0612, 86.85
693.0, 0.0615, 86.81
694.0, 0.0615, 86.79
695.0, 0.0617, 86.76
696.0, 0.0618, 86.73
697.0, 0.0619, 86.71
698.0, 0.0621, 86.68
699.0, 0.0622, 86.67
700.0, 0.0623, 86.64
701.0, 0.0624, 86.61
702.0, 0.0625, 86.60
703.0, 0.0626, 86.58
704.0, 0.0627, 86.55
705.0, 0.0629, 86.52
706.0, 0.0630, 86.49
707.0, 0.0632, 86.45
708.0, 0.0633, 86.45
709.0, 0.0634, 86.41
710.0, 0.0636, 86.38
711.0, 0.0637, 86.36
712.0, 0.0638, 86.33
713.0, 0.0639, 86.32
714.0, 0.0641, 86.28
715.0, 0.0643, 86.24
716.0, 0.0643, 86.24
717.0, 0.0644, 86.22
718.0, 0.0647, 86.16
719.0, 0.0648, 86.14
720.0, 0.0649, 86.12
721.0, 0.0650, 86.11
722.0, 0.0651, 86.08
723.0, 0.0654, 86.02
724.0, 0.0654, 86.02
725.0, 0.0656, 85.98
726.0, 0.0657, 85.95
727.0, 0.0658, 85.94
