Sample Name, 45.55.
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
630.0, 1.3953, 4.02
631.0, 1.3954, 4.02
632.0, 1.3939, 4.04
633.0, 1.3942, 4.03
634.0, 1.3931, 4.04
635.0, 1.3923, 4.05
636.0, 1.3928, 4.05
637.0, 1.3922, 4.05
638.0, 1.3919, 4.06
639.0, 1.3917, 4.06
640.0, 1.3902, 4.07
641.0, 1.3909, 4.07
642.0, 1.3900, 4.07
643.0, 1.3896, 4.08
644.0, 1.3899, 4.07
645.0, 1.3895, 4.08
646.0, 1.3880, 4.09
647.0, 1.3884, 4.09
648.0, 1.3871, 4.10
649.0, 1.3873, 4.10
650.0, 1.3871, 4.10
651.0, 1.3859, 4.11
652.0, 1.3860, 4.11
653.0, 1.3859, 4.11
654.0, 1.3849, 4.12
655.0, 1.3851, 4.12
656.0, 1.3850, 4.12
657.0, 1.3837, 4.13
658.0, 1.3842, 4.13
659.0, 1.3824, 4.15
660.0, 1.3827, 4.14
661.0, 1.3826, 4.14
662.0, 1.3819, 4.15
663.0, 1.3819, 4.15
664.0, 1.3810, 4.16
665.0, 1.3803, 4.17
666.0, 1.3806, 4.16
667.0, 1.3808, 4.16
668.0, 1.3801, 4.17
669.0, 1.3796, 4.17
670.0, 1.3787, 4.18
671.0, 1.3788, 4.18
672.0, 1.3784, 4.18
673.0, 1.3777, 4.19
674.0, 1.3779, 4.19
675.0, 1.3769, 4.20
676.0, 1.3772, 4.20
677.0, 1.3775, 4.19
678.0, 1.3767, 4.20
679.0, 1.3767, 4.20
680.0, 1.3759, 4.21
681.0, 1.3753, 4.21
682.0, 1.3752, 4.22
683.0, 1.3747, 4.22
684.0, 1.3740, 4.23
685.0, 1.3739, 4.23
686.0, 1.3739, 4.23
687.0, 1.3735, 4.23
688.0, 1.3738, 4.23
689.0, 1.3732, 4.23
690.0, 1.3731, 4.24
691.0, 1.3735, 4.23
692.0, 1.3723, 4.24
693.0, 1.3718, 4.25
694.0, 1.3712, 4.25
695.0, 1.3711, 4.25
696.0, 1.3715, 4.25
697.0, 1.3705, 4.26
698.0, 1.3709, 4.26
699.0, 1.3714, 4.25
700.0, 1.3698, 4.27
701.0, 1.3703, 4.26
702.0, 1.3702, 4.26
703.0, 1.3701, 4.26
704.0, 1.3700, 4.27
705.0, 1.3690, 4.28
706.0, 1.3690, 4.28
707.0, 1.3683, 4.28
708.0, 1.3683, 4.28
709.0, 1.3686, 4.28
710.0, 1.3688, 4.28
711.0, 1.3683, 4.28
712.0, 1.3683, 4.28
713.0, 1.3682, 4.28
714.0, 1.3678, 4.29
715.0, 1.3686, 4.28
716.0, 1.3687, 4.28
717.0, 1.3674, 4.29
718.0, 1.3675, 4.29
719.0, 1.3675, 4.29
720.0, 1.3670, 4.29
721.0, 1.3672, 4.29
722.0, 1.3676, 4.29
723.0, 1.3675, 4.29
724.0, 1.3671, 4.29
725.0, 1.3670, 4.30
726.0, 1.3678, 4.29
727.0, 1.3679, 4.29
728.0, 1.3673, 4.29
729.0, 1.3674, 4.29
730.0, 1.3660, 4.31
731.0, 1.3666, 4.30
732.0, 1.3660, 4.31
733.0, 1.3654, 4.31
734.0, 1.3660, 4.31
735.0, 1.3654, 4.31
736.0, 1.3659, 4.31
737.0, 1.3664, 4.30
738.0, 1.3661, 4.30
739.0, 1.3652, 4.31
740.0, 1.3660, 4.31
741.0, 1.3651, 4.31
742.0, 1.3662, 4.30
743.0, 1.3662, 4.30
744.0, 1.3651, 4.31
745.0, 1.3659, 4.31
746.0, 1.3651, 4.31
747.0, 1.3653, 4.31
748.0, 1.3659, 4.31
749.0, 1.3651, 4.31
750.0, 1.3652, 4.31
751.0, 1.3655, 4.31
752.0, 1.3643, 4.32
753.0, 1.3653, 4.31
754.0, 1.3654, 4.31
755.0, 1.3648, 4.32
756.0, 1.3654, 4.31
757.0, 1.3649, 4.32
758.0, 1.3647, 4.32
759.0, 1.3650, 4.32
760.0, 1.3642, 4.32
761.0, 1.3650, 4.31
762.0, 1.3654, 4.31
763.0, 1.3644, 4.32
764.0, 1.3658, 4.31
765.0, 1.3654, 4.31
766.0, 1.3650, 4.31
767.0, 1.3648, 4.32
768.0, 1.3639, 4.33
769.0, 1.3648, 4.32
770.0, 1.3646, 4.32
771.0, 1.3647, 4.32
772.0, 1.3650, 4.31
773.0, 1.3654, 4.31
774.0, 1.3650, 4.32
775.0, 1.3657, 4.31
776.0, 1.3650, 4.32
777.0, 1.3655, 4.31
778.0, 1.3653, 4.31
779.0, 1.3643, 4.32
780.0, 1.3654, 4.31
781.0, 1.3663, 4.30
782.0, 1.3656, 4.31
783.0, 1.3658, 4.31
784.0, 1.3654, 4.31
785.0, 1.3650, 4.32
786.0, 1.3658, 4.31
787.0, 1.3661, 4.30
788.0, 1.3658, 4.31
789.0, 1.3670, 4.30
790.0, 1.3657, 4.31
791.0, 1.3655, 4.31
792.0, 1.3637, 4.33
793.0, 1.3648, 4.32
794.0, 1.3647, 4.32
795.0, 1.3645, 4.32
796.0, 1.3652, 4.31
797.0, 1.3645, 4.32
798.0, 1.3652, 4.31
799.0, 1.3658, 4.31
800.0, 1.3651, 4.31
801.0, 1.3661, 4.30
802.0, 1.3662, 4.30
803.0, 1.3651, 4.31
804.0, 1.3659, 4.31
805.0, 1.3656, 4.31
806.0, 1.3657, 4.31
807.0, 1.3671, 4.29
808.0, 1.3659, 4.31
809.0, 1.3664, 4.30
810.0, 1.3673, 4.29
811.0, 1.3658, 4.31
812.0, 1.3667, 4.30
813.0, 1.3669, 4.30
814.0, 1.3664, 4.30
815.0, 1.3669, 4.30
816.0, 1.3664, 4.30
817.0, 1.3670, 4.30
818.0, 1.3673, 4.29
819.0, 1.3669, 4.30
820.0, 1.3665, 4.30
821.0, 1.3678, 4.29
822.0, 1.3662, 4.30
823.0, 1.3672, 4.29
824.0, 1.3681, 4.28
825.0, 1.3667, 4.30
826.0, 1.3679, 4.29
827.0, 1.3674, 4.29
828.0, 1.3666, 4.30
829.0, 1.3686, 4.28
830.0, 1.3672, 4.29
831.0, 1.3674, 4.29
832.0, 1.3683, 4.28
833.0, 1.3669, 4.30
834.0, 1.3685, 4.28
835.0, 1.3681, 4.28
836.0, 1.3674, 4.29
837.0, 1.3691, 4.27
838.0, 1.3671, 4.29
839.0, 1.3669, 4.30
840.0, 1.3689, 4.28
841.0, 1.3674, 4.29
842.0, 1.3676, 4.29
843.0, 1.3687, 4.28
844.0, 1.3672, 4.29
845.0, 1.3687, 4.28
846.0, 1.3679, 4.29
847.0, 1.3677, 4.29
848.0, 1.3695, 4.27
849.0, 1.3683, 4.28
850.0, 1.3701, 4.26
851.0, 1.3856, 4.11
852.0, 1.3860, 4.11
853.0, 1.3858, 4.11
854.0, 1.3863, 4.11
855.0, 1.3865, 4.11
856.0, 1.3866, 4.11
857.0, 1.3865, 4.11
858.0, 1.3867, 4.10
859.0, 1.3874, 4.10
860.0, 1.3868, 4.10
861.0, 1.3866, 4.11
862.0, 1.3869, 4.10
863.0, 1.3872, 4.10
864.0, 1.3875, 4.10
865.0, 1.3876, 4.10
866.0, 1.3872, 4.10
867.0, 1.3875, 4.10
868.0, 1.3870, 4.10
869.0, 1.3873, 4.10
870.0, 1.3874, 4.10
871.0, 1.3878, 4.09
872.0, 1.3876, 4.10
873.0, 1.3877, 4.10
874.0, 1.3878, 4.09
875.0, 1.3881, 4.09
876.0, 1.3876, 4.10
877.0, 1.3880, 4.09
878.0, 1.3881, 4.09
879.0, 1.3881, 4.09
880.0, 1.3884, 4.09
881.0, 1.3886, 4.09
882.0, 1.3882, 4.09
883.0, 1.3885, 4.09
884.0, 1.3888, 4.08
885.0, 1.3888, 4.09
886.0, 1.3890, 4.08
887.0, 1.3891, 4.08
888.0, 1.3890, 4.08
889.0, 1.3895, 4.08
890.0, 1.3893, 4.08
891.0, 1.3888, 4.09
892.0, 1.3897, 4.08
893.0, 1.3891, 4.08
894.0, 1.3893, 4.08
895.0, 1.3898, 4.08
896.0, 1.3897, 4.08
897.0, 1.3896, 4.08
898.0, 1.3892, 4.08
899.0, 1.3898, 4.08
900.0, 1.3902, 4.07
901.0, 1.3900, 4.07
902.0, 1.3901, 4.07
903.0, 1.3903, 4.07
904.0, 1.3905, 4.07
905.0, 1.3905, 4.07
906.0, 1.3905, 4.07
907.0, 1.3900, 4.07
908.0, 1.3912, 4.06
909.0, 1.3907, 4.07
910.0, 1.3907, 4.07
911.0, 1.3918, 4.06
912.0, 1.3913, 4.06
913.0, 1.3912, 4.06
914.0, 1.3917, 4.06
915.0, 1.3915, 4.06
916.0, 1.3915, 4.06
917.0, 1.3918, 4.06
918.0, 1.3915, 4.06
919.0, 1.3919, 4.06
920.0, 1.3919, 4.06
921.0, 1.3917, 4.06
922.0, 1.3923, 4.05
923.0, 1.3920, 4.06
924.0, 1.3924, 4.05
925.0, 1.3922, 4.05
926.0, 1.3926, 4.05
927.0, 1.3930, 4.05
928.0, 1.3930, 4.05
929.0, 1.3924, 4.05
930.0, 1.3935, 4.04
931.0, 1.3924, 4.05
932.0, 1.3930, 4.05
933.0, 1.3939, 4.04
