Sample Name, 25.75
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
756.0, 1.2088, 6.18
757.0, 1.2081, 6.19
758.0, 1.2075, 6.20
759.0, 1.2081, 6.19
760.0, 1.2075, 6.20
761.0, 1.2070, 6.21
762.0, 1.2072, 6.21
763.0, 1.2062, 6.22
764.0, 1.2063, 6.22
765.0, 1.2057, 6.23
766.0, 1.2057, 6.23
767.0, 1.2059, 6.22
768.0, 1.2052, 6.23
769.0, 1.2044, 6.25
770.0, 1.2049, 6.24
771.0, 1.2041, 6.25
772.0, 1.2041, 6.25
773.0, 1.2046, 6.24
774.0, 1.2034, 6.26
775.0, 1.2035, 6.26
776.0, 1.2026, 6.27
777.0, 1.2023, 6.28
778.0, 1.2025, 6.27
779.0, 1.2017, 6.28
780.0, 1.2005, 6.30
781.0, 1.2012, 6.29
782.0, 1.2001, 6.31
783.0, 1.2011, 6.29
784.0, 1.2011, 6.29
785.0, 1.2002, 6.31
786.0, 1.1998, 6.31
787.0, 1.1997, 6.31
788.0, 1.1988, 6.33
789.0, 1.1991, 6.32
790.0, 1.1987, 6.33
791.0, 1.1973, 6.35
792.0, 1.1961, 6.37
793.0, 1.1968, 6.36
794.0, 1.1967, 6.36
795.0, 1.1960, 6.37
796.0, 1.1961, 6.37
797.0, 1.1962, 6.36
798.0, 1.1951, 6.38
799.0, 1.1949, 6.38
800.0, 1.1947, 6.39
801.0, 1.1939, 6.40
802.0, 1.1944, 6.39
803.0, 1.1937, 6.40
804.0, 1.1934, 6.41
805.0, 1.1937, 6.40
806.0, 1.1933, 6.41
807.0, 1.1932, 6.41
808.0, 1.1931, 6.41
809.0, 1.1930, 6.41
810.0, 1.1928, 6.41
811.0, 1.1920, 6.43
812.0, 1.1916, 6.43
813.0, 1.1923, 6.42
814.0, 1.1911, 6.44
815.0, 1.1905, 6.45
816.0, 1.1911, 6.44
817.0, 1.1897, 6.46
818.0, 1.1905, 6.45
819.0, 1.1901, 6.45
820.0, 1.1896, 6.46
821.0, 1.1902, 6.45
822.0, 1.1893, 6.47
823.0, 1.1890, 6.47
824.0, 1.1896, 6.46
825.0, 1.1882, 6.48
826.0, 1.1877, 6.49
827.0, 1.1885, 6.48
828.0, 1.1874, 6.49
829.0, 1.1873, 6.50
830.0, 1.1874, 6.50
831.0, 1.1868, 6.50
832.0, 1.1876, 6.49
833.0, 1.1877, 6.49
834.0, 1.1873, 6.50
835.0, 1.1873, 6.50
836.0, 1.1858, 6.52
837.0, 1.1856, 6.52
838.0, 1.1855, 6.52
839.0, 1.1842, 6.54
840.0, 1.1851, 6.53
841.0, 1.1848, 6.53
842.0, 1.1841, 6.55
843.0, 1.1845, 6.54
844.0, 1.1847, 6.54
845.0, 1.1846, 6.54
846.0, 1.1852, 6.53
847.0, 1.1836, 6.55
848.0, 1.1835, 6.55
849.0, 1.1836, 6.55
850.0, 1.1829, 6.56
851.0, 1.1932, 6.41
852.0, 1.1928, 6.42
853.0, 1.1928, 6.42
854.0, 1.1930, 6.41
855.0, 1.1927, 6.42
856.0, 1.1926, 6.42
857.0, 1.1931, 6.41
858.0, 1.1926, 6.42
859.0, 1.1925, 6.42
860.0, 1.1917, 6.43
861.0, 1.1914, 6.44
862.0, 1.1910, 6.44
863.0, 1.1910, 6.44
864.0, 1.1906, 6.45
865.0, 1.1905, 6.45
866.0, 1.1906, 6.45
867.0, 1.1903, 6.45
868.0, 1.1911, 6.44
869.0, 1.1906, 6.45
870.0, 1.1910, 6.44
871.0, 1.1905, 6.45
872.0, 1.1899, 6.46
873.0, 1.1896, 6.46
874.0, 1.1893, 6.47
875.0, 1.1896, 6.46
876.0, 1.1887, 6.48
877.0, 1.1885, 6.48
878.0, 1.1882, 6.48
879.0, 1.1884, 6.48
880.0, 1.1882, 6.48
881.0, 1.1888, 6.47
882.0, 1.1883, 6.48
883.0, 1.1881, 6.48
884.0, 1.1879, 6.49
885.0, 1.1876, 6.49
886.0, 1.1870, 6.50
887.0, 1.1867, 6.51
888.0, 1.1869, 6.50
889.0, 1.1865, 6.51
890.0, 1.1861, 6.51
891.0, 1.1862, 6.51
892.0, 1.1865, 6.51
893.0, 1.1867, 6.51
894.0, 1.1869, 6.50
895.0, 1.1862, 6.51
896.0, 1.1855, 6.52
897.0, 1.1851, 6.53
898.0, 1.1845, 6.54
899.0, 1.1840, 6.55
900.0, 1.1840, 6.55
901.0, 1.1838, 6.55
902.0, 1.1836, 6.55
903.0, 1.1836, 6.55
904.0, 1.1837, 6.55
905.0, 1.1844, 6.54
906.0, 1.1846, 6.54
907.0, 1.1837, 6.55
908.0, 1.1831, 6.56
909.0, 1.1831, 6.56
910.0, 1.1825, 6.57
911.0, 1.1825, 6.57
912.0, 1.1823, 6.57
913.0, 1.1821, 6.58
914.0, 1.1821, 6.58
915.0, 1.1815, 6.58
916.0, 1.1820, 6.58
917.0, 1.1819, 6.58
918.0, 1.1817, 6.58
919.0, 1.1812, 6.59
920.0, 1.1803, 6.60
921.0, 1.1795, 6.61
922.0, 1.1802, 6.60
923.0, 1.1798, 6.61
924.0, 1.1794, 6.62
925.0, 1.1792, 6.62
926.0, 1.1792, 6.62
927.0, 1.1792, 6.62
928.0, 1.1793, 6.62
929.0, 1.1792, 6.62
930.0, 1.1791, 6.62
931.0, 1.1791, 6.62
932.0, 1.1785, 6.63
933.0, 1.1783, 6.63
934.0, 1.1772, 6.65
935.0, 1.1774, 6.65
936.0, 1.1773, 6.65
937.0, 1.1766, 6.66
938.0, 1.1765, 6.66
939.0, 1.1762, 6.66
940.0, 1.1763, 6.66
941.0, 1.1765, 6.66
942.0, 1.1764, 6.66
943.0, 1.1777, 6.64
944.0, 1.1755, 6.68
945.0, 1.1744, 6.69
946.0, 1.1743, 6.69
947.0, 1.1749, 6.69
948.0, 1.1738, 6.70
949.0, 1.1743, 6.69
950.0, 1.1736, 6.70
951.0, 1.1738, 6.70
952.0, 1.1731, 6.71
953.0, 1.1737, 6.70
954.0, 1.1733, 6.71
955.0, 1.1735, 6.71
956.0, 1.1722, 6.73
957.0, 1.1717, 6.73
958.0, 1.1708, 6.75
959.0, 1.1706, 6.75
960.0, 1.1704, 6.75
961.0, 1.1701, 6.76
962.0, 1.1698, 6.76
963.0, 1.1699, 6.76
964.0, 1.1702, 6.76
965.0, 1.1708, 6.75
966.0, 1.1709, 6.75
967.0, 1.1706, 6.75
968.0, 1.1692, 6.77
969.0, 1.1693, 6.77
970.0, 1.1688, 6.78
971.0, 1.1689, 6.78
972.0, 1.1668, 6.81
973.0, 1.1669, 6.81
974.0, 1.1669, 6.81
975.0, 1.1669, 6.81
976.0, 1.1673, 6.80
977.0, 1.1674, 6.80
978.0, 1.1671, 6.81
979.0, 1.1666, 6.81
980.0, 1.1657, 6.83
981.0, 1.1651, 6.84
982.0, 1.1649, 6.84
983.0, 1.1644, 6.85
984.0, 1.1646, 6.85
985.0, 1.1639, 6.86
986.0, 1.1637, 6.86
987.0, 1.1638, 6.86
988.0, 1.1635, 6.86
989.0, 1.1642, 6.85
990.0, 1.1644, 6.85
991.0, 1.1640, 6.85
992.0, 1.1638, 6.86
993.0, 1.1630, 6.87
994.0, 1.1620, 6.89
995.0, 1.1623, 6.88
996.0, 1.1615, 6.89
997.0, 1.1613, 6.90
998.0, 1.1610, 6.90
999.0, 1.1605, 6.91
1000.0, 1.1605, 6.91
1001.0, 1.1614, 6.90
1002.0, 1.1603, 6.91
1003.0, 1.1602, 6.92
1004.0, 1.1599, 6.92
1005.0, 1.1592, 6.93
1006.0, 1.1590, 6.93
1007.0, 1.1589, 6.94
1008.0, 1.1581, 6.95
1009.0, 1.1579, 6.95
1010.0, 1.1577, 6.96
1011.0, 1.1579, 6.95
1012.0, 1.1585, 6.94
1013.0, 1.1578, 6.95
1014.0, 1.1588, 6.94
1015.0, 1.1577, 6.95
1016.0, 1.1556, 6.99
1017.0, 1.1547, 7.00
1018.0, 1.1534, 7.02
1019.0, 1.1537, 7.02
1020.0, 1.1534, 7.03
1021.0, 1.1529, 7.03
1022.0, 1.1534, 7.02
1023.0, 1.1525, 7.04
1024.0, 1.1531, 7.03
1025.0, 1.1537, 7.02
1026.0, 1.1523, 7.04
1027.0, 1.1532, 7.03
1028.0, 1.1518, 7.05
1029.0, 1.1513, 7.06
1030.0, 1.1511, 7.06
1031.0, 1.1506, 7.07
1032.0, 1.1499, 7.08
1033.0, 1.1502, 7.08
1034.0, 1.1499, 7.08
1035.0, 1.1501, 7.08
1036.0, 1.1503, 7.07
1037.0, 1.1488, 7.10
1038.0, 1.1496, 7.09
1039.0, 1.1488, 7.10
1040.0, 1.1479, 7.11
1041.0, 1.1483, 7.11
1042.0, 1.1466, 7.14
1043.0, 1.1463, 7.14
1044.0, 1.1470, 7.13
1045.0, 1.1456, 7.15
1046.0, 1.1455, 7.15
1047.0, 1.1457, 7.15
1048.0, 1.1435, 7.19
1049.0, 1.1452, 7.16
1050.0, 1.1435, 7.19
1051.0, 1.1445, 7.17
1052.0, 1.1439, 7.18
1053.0, 1.1427, 7.20
1054.0, 1.1433, 7.19
1055.0, 1.1419, 7.21
1056.0, 1.1418, 7.21
1057.0, 1.1424, 7.20
1058.0, 1.1403, 7.24
1059.0, 1.1410, 7.23
1060.0, 1.1414, 7.22
1061.0, 1.1401, 7.24
1062.0, 1.1413, 7.22
1063.0, 1.1396, 7.25
1064.0, 1.1391, 7.26
1065.0, 1.1405, 7.24
1066.0, 1.1380, 7.28
1067.0, 1.1378, 7.28
1068.0, 1.1392, 7.26
1069.0, 1.1363, 7.31
1070.0, 1.1380, 7.28
1071.0, 1.1374, 7.29
1072.0, 1.1366, 7.30
1073.0, 1.1387, 7.27
1074.0, 1.1367, 7.30
1075.0, 1.1363, 7.31
1076.0, 1.1404, 7.24
1077.0, 1.1330, 7.36
1078.0, 1.1344, 7.34
1079.0, 1.1316, 7.39
1080.0, 1.1325, 7.37
1081.0, 1.1335, 7.35
1082.0, 1.1301, 7.41
1083.0, 1.1327, 7.37
1084.0, 1.1335, 7.35
