Sample Name, AL1
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
1042.0, 1.5132, 3.07
1043.0, 1.5153, 3.05
1044.0, 1.5126, 3.07
1045.0, 1.5137, 3.06
1046.0, 1.5118, 3.08
1047.0, 1.5116, 3.08
1048.0, 1.5135, 3.07
1049.0, 1.5127, 3.07
1050.0, 1.5153, 3.05
1051.0, 1.5127, 3.07
1052.0, 1.5139, 3.06
1053.0, 1.5162, 3.05
1054.0, 1.5129, 3.07
1055.0, 1.5163, 3.05
1056.0, 1.5154, 3.05
1057.0, 1.5148, 3.06
1058.0, 1.5185, 3.03
1059.0, 1.5159, 3.05
1060.0, 1.5152, 3.05
1061.0, 1.5177, 3.04
1062.0, 1.5150, 3.05
1063.0, 1.5174, 3.04
1064.0, 1.5192, 3.03
1065.0, 1.5153, 3.05
1066.0, 1.5214, 3.01
1067.0, 1.5187, 3.03
1068.0, 1.5183, 3.03
1069.0, 1.5209, 3.01
1070.0, 1.5172, 3.04
1071.0, 1.5189, 3.03
1072.0, 1.5231, 3.00
1073.0, 1.5175, 3.04
1074.0, 1.5205, 3.02
1075.0, 1.5231, 3.00
1076.0, 1.5269, 2.97
1077.0, 1.5208, 3.01
1078.0, 1.5176, 3.04
1079.0, 1.5240, 2.99
1080.0, 1.5190, 3.03
1081.0, 1.5184, 3.03
1082.0, 1.5243, 2.99
1083.0, 1.5185, 3.03
1084.0, 1.5224, 3.00
1085.0, 1.5233, 3.00
